Fitness: 181825, Laufzeit: 0:00:02 Pop: 10, Wi: 0, Mu: 1, Me: 5, Gen: 4 RoundsFind: 7, RoundsPolygon: 2 Dissmissed: 10
Fitness: 165442, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 1, Me: 1, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 10
Fitness: 187575, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 1, Me: 3, Gen: 4 RoundsFind: 5, RoundsPolygon: 2 Dissmissed: 10
Fitness: 174322, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 3, Me: 3, Gen: 4 RoundsFind: 5, RoundsPolygon: 2 Dissmissed: 10
Fitness: 171620, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 3, Me: 1, Gen: 4 RoundsFind: 3, RoundsPolygon: 2 Dissmissed: 10
Fitness: 173286, Laufzeit: 0:00:00 Pop: 10, Wi: 0, Mu: 3, Me: 5, Gen: 4 RoundsFind: 6, RoundsPolygon: 2 Dissmissed: 10
Fitness: 162734, Laufzeit: 0:00:00 Pop: 10, Wi: 0, Mu: 5, Me: 1, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 10
Fitness: 169733, Laufzeit: 0:00:00 Pop: 10, Wi: 0, Mu: 5, Me: 3, Gen: 4 RoundsFind: 5, RoundsPolygon: 2 Dissmissed: 10
Fitness: 170636, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 1, Me: 1, Gen: 4 RoundsFind: 6, RoundsPolygon: 3 Dissmissed: 10
Fitness: 181733, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 1, Me: 5, Gen: 4 RoundsFind: 10, RoundsPolygon: 2 Dissmissed: 10
Fitness: 189948, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 1, Me: 3, Gen: 4 RoundsFind: 11, RoundsPolygon: 3 Dissmissed: 10
Fitness: 165566, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 3, Me: 1, Gen: 4 RoundsFind: 7, RoundsPolygon: 3 Dissmissed: 10
Fitness: 167316, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 5, Me: 1, Gen: 4 RoundsFind: 7, RoundsPolygon: 4 Dissmissed: 10
Fitness: 180095, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 3, Me: 3, Gen: 4 RoundsFind: 9, RoundsPolygon: 3 Dissmissed: 10
Fitness: 175179, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 3, Me: 5, Gen: 4 RoundsFind: 11, RoundsPolygon: 2 Dissmissed: 10
Fitness: 168082, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 5, Me: 3, Gen: 4 RoundsFind: 9, RoundsPolygon: 3 Dissmissed: 10
Fitness: 179272, Laufzeit: 0:00:03 Pop: 10, Wi: 3, Mu: 1, Me: 1, Gen: 4 RoundsFind: 15, RoundsPolygon: 5 Dissmissed: 10
Fitness: 181961, Laufzeit: 0:00:02 Pop: 10, Wi: 3, Mu: 1, Me: 3, Gen: 4 RoundsFind: 13, RoundsPolygon: 5 Dissmissed: 10
Fitness: 177446, Laufzeit: 0:00:02 Pop: 10, Wi: 3, Mu: 3, Me: 1, Gen: 4 RoundsFind: 12, RoundsPolygon: 5 Dissmissed: 10
Fitness: 178521, Laufzeit: 0:00:02 Pop: 10, Wi: 3, Mu: 1, Me: 5, Gen: 4 RoundsFind: 13, RoundsPolygon: 5 Dissmissed: 10
