10
rauschgeschmissen: 1364/1631 möglichen Regeln
25 verschiedene Tags.
Fitness: 198356, Laufzeit: 0:06:52 Pop: 100, Wi: 100, Mu: 1, Me: 5, Gen: 4
Fitness: 198497, Laufzeit: 0:08:14 Pop: 100, Wi: 100, Mu: 1, Me: 1, Gen: 4
Fitness: 199183, Laufzeit: 0:08:59 Pop: 100, Wi: 100, Mu: 1, Me: 3, Gen: 4
Fitness: 196028, Laufzeit: 0:04:53 Pop: 100, Wi: 100, Mu: 3, Me: 3, Gen: 4
Fitness: 195609, Laufzeit: 0:07:11 Pop: 100, Wi: 100, Mu: 3, Me: 1, Gen: 4
Fitness: 197821, Laufzeit: 0:04:47 Pop: 100, Wi: 100, Mu: 3, Me: 5, Gen: 4
Fitness: 196667, Laufzeit: 0:09:03 Pop: 100, Wi: 100, Mu: 5, Me: 3, Gen: 4
Fitness: 190295, Laufzeit: 0:08:15 Pop: 100, Wi: 100, Mu: 5, Me: 5, Gen: 4
Fitness: 196546, Laufzeit: 0:13:53 Pop: 100, Wi: 100, Mu: 5, Me: 1, Gen: 4
Fitness: 198594, Laufzeit: 0:13:32 Pop: 100, Wi: 350, Mu: 1, Me: 3, Gen: 4
Fitness: 198313, Laufzeit: 0:10:32 Pop: 100, Wi: 350, Mu: 1, Me: 5, Gen: 4
Fitness: 199056, Laufzeit: 0:27:30 Pop: 100, Wi: 350, Mu: 1, Me: 1, Gen: 4
Fitness: 197015, Laufzeit: 0:17:45 Pop: 100, Wi: 350, Mu: 3, Me: 1, Gen: 4
Fitness: 197685, Laufzeit: 0:12:57 Pop: 100, Wi: 350, Mu: 3, Me: 3, Gen: 4
Fitness: 191129, Laufzeit: 0:17:03 Pop: 100, Wi: 350, Mu: 3, Me: 5, Gen: 4
Fitness: 194318, Laufzeit: 0:22:39 Pop: 100, Wi: 350, Mu: 5, Me: 1, Gen: 4
Fitness: 197832, Laufzeit: 0:15:04 Pop: 100, Wi: 350, Mu: 5, Me: 3, Gen: 4
Fitness: 190164, Laufzeit: 0:15:47 Pop: 100, Wi: 350, Mu: 5, Me: 5, Gen: 4
Fitness: 198471, Laufzeit: 0:23:03 Pop: 100, Wi: 500, Mu: 1, Me: 1, Gen: 4
Fitness: 198839, Laufzeit: 0:16:39 Pop: 100, Wi: 500, Mu: 1, Me: 3, Gen: 4
Fitness: 198780, Laufzeit: 0:14:43 Pop: 100, Wi: 500, Mu: 1, Me: 5, Gen: 4
Fitness: 195608, Laufzeit: 0:26:03 Pop: 100, Wi: 500, Mu: 3, Me: 1, Gen: 4
Fitness: 195949, Laufzeit: 0:20:37 Pop: 100, Wi: 500, Mu: 3, Me: 3, Gen: 4
Fitness: 196858, Laufzeit: 0:18:28 Pop: 100, Wi: 500, Mu: 3, Me: 5, Gen: 4
Fitness: 198407, Laufzeit: 0:26:27 Pop: 100, Wi: 500, Mu: 5, Me: 1, Gen: 4
Fitness: 195328, Laufzeit: 0:20:46 Pop: 100, Wi: 500, Mu: 5, Me: 3, Gen: 4
Fitness: 188208, Laufzeit: 0:20:14 Pop: 100, Wi: 500, Mu: 5, Me: 5, Gen: 4
Fitness: 199138, Laufzeit: 0:20:35 Pop: 350, Wi: 100, Mu: 1, Me: 1, Gen: 4
Fitness: 199173, Laufzeit: 0:15:15 Pop: 350, Wi: 100, Mu: 1, Me: 3, Gen: 4
Fitness: 197901, Laufzeit: 0:11:24 Pop: 350, Wi: 100, Mu: 3, Me: 1, Gen: 4
Fitness: 199458, Laufzeit: 0:29:42 Pop: 350, Wi: 100, Mu: 1, Me: 5, Gen: 4
