Fitness: 182782, Laufzeit: 0:00:02 Pop: 10, Wi: 0, Mu: 1, Me: 3, Gen: 4 RoundsFind: 6, RoundsPolygon: 2 Dissmissed: 1
Fitness: 166236, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 1, Me: 1, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 1
Fitness: 173373, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 1, Me: 5, Gen: 4 RoundsFind: 9, RoundsPolygon: 1 Dissmissed: 1
Fitness: 164782, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 3, Me: 5, Gen: 4 RoundsFind: 9, RoundsPolygon: 1 Dissmissed: 1
Fitness: 160524, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 3, Me: 1, Gen: 4 RoundsFind: 3, RoundsPolygon: 2 Dissmissed: 1
Fitness: 170337, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 3, Me: 3, Gen: 4 RoundsFind: 6, RoundsPolygon: 2 Dissmissed: 1
Fitness: 143153, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 5, Me: 1, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 1
Fitness: 147627, Laufzeit: 0:00:00 Pop: 10, Wi: 0, Mu: 5, Me: 3, Gen: 4 RoundsFind: 5, RoundsPolygon: 2 Dissmissed: 1
Fitness: 170406, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 1, Me: 1, Gen: 4 RoundsFind: 6, RoundsPolygon: 3 Dissmissed: 1
Fitness: 178801, Laufzeit: 0:00:02 Pop: 10, Wi: 1, Mu: 1, Me: 5, Gen: 4 RoundsFind: 15, RoundsPolygon: 3 Dissmissed: 1
Fitness: 175167, Laufzeit: 0:00:02 Pop: 10, Wi: 1, Mu: 1, Me: 3, Gen: 4 RoundsFind: 11, RoundsPolygon: 3 Dissmissed: 1
Fitness: 159927, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 3, Me: 1, Gen: 4 RoundsFind: 7, RoundsPolygon: 4 Dissmissed: 1
Fitness: 168428, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 3, Me: 5, Gen: 4 RoundsFind: 11, RoundsPolygon: 3 Dissmissed: 1
Fitness: 177903, Laufzeit: 0:00:02 Pop: 10, Wi: 1, Mu: 3, Me: 3, Gen: 4 RoundsFind: 12, RoundsPolygon: 3 Dissmissed: 1
Fitness: 153387, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 5, Me: 1, Gen: 4 RoundsFind: 8, RoundsPolygon: 3 Dissmissed: 1
